Provinsi,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aceh,75,76,77,78,80,81,83,85,86,88,90,91,93,91,92
Sumatera Utara,177,180,182,179,181,184,186,189,191,193,195,198,200,203,205
Sumatera Barat,111,113,114,116,117,119,121,122,124,125,127,128,130,132,133
Riau,58,59,60,64,66,68,69,71,73,75,77,78,80,73,75
Jambi,60,61,62,62,63,64,66,67,68,69,70,71,72,71,72
Sumatera Selatan,116,118,120,82,83,84,85,87,88,89,90,91,92,92,93
Bengkulu,82,83,84,86,88,90,91,93,94,96,97,99,100,101,102
Lampung,193,196,199,220,223,226,229,232,234,237,239,242,244,260,262
Kep. Bangka Belitung,67,68,69,75,77,78,80,82,84,85,87,89,91,89,90
Kep. Riau,172,180,187,206,213,220,227,234,241,247,254,260,267,252,258
Dki Jakarta,12245,12355,12459,14518,14687,14852,15015,15173,15328,15478,15624,15764,15900,15907,15978
Jawa Barat,1092,1108,1124,1222,1242,1262,1282,1301,1320,1339,1358,1376,1394,1365,1379
Jawa Tengah,987,995,1002,989,998,1006,1014,1022,1030,1037,1044,1052,1058,1113,1120
Di Yogyakarta,1096,1107,1118,1107,1120,1134,1147,1161,1174,1188,1201,1214,1227,1171,1185
Jawa Timur,790,794,798,786,792,797,803,808,813,817,822,826,831,851,855
Banten,1045,1065,1085,1106,1133,1159,1185,1211,1237,1263,1288,1313,1338,1232,1248
Bali,639,645,652,676,685,693,702,710,718,727,735,743,750,747,755
Nusa Tenggara Barat,218,221,225,243,247,250,254,257,260,264,267,270,273,286,290
Nusa Tenggara Timur,96,98,100,97,98,100,102,103,105,107,109,110,112,109,111
Kalimantan Barat,35,35,36,30,30,31,32,32,33,33,33,34,34,37,37
Kalimantan Tengah,13,13,14,14,15,15,16,16,16,17,17,17,18,17,18
Kalimantan Selatan,87,89,90,94,96,98,99,101,103,105,106,108,110,105,106
Kalimantan Timur,16,16,16,17,18,18,19,26,27,27,28,28,29,29,30
Kalimantan Utara,-,-,-,-,-,-,-,8,9,9,9,9,10,9,9
Sulawesi Utara,157,158,160,164,166,168,170,172,174,176,178,179,181,189,190
Sulawesi Tengah,35,36,36,43,44,44,45,46,47,47,48,49,49,48,49
Sulawesi Selatan,167,169,171,173,175,177,179,180,182,184,186,188,189,194,196
Sulawesi Tenggara,55,56,58,59,60,62,63,64,66,67,68,70,71,69,70
Gorontalo,79,80,81,93,94,96,98,99,101,102,104,105,107,104,105
Sulawesi Barat,61,61,63,69,71,72,74,75,76,78,79,81,82,85,86
Maluku,27,28,29,33,33,34,35,35,36,37,37,38,38,39,40
Maluku Utara,24,24,25,33,33,34,35,36,36,37,38,39,39,40,41
Papua Barat,6,6,6,8,8,8,9,9,9,9,9,9,9,11,11
Papua,7,7,7,9,9,9,10,10,10,10,10,10,11,13,14
